年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street,date
10505(實價),透天厝,嘉義市嘉義市大富一街31~60號,12.7,5房/3廳/3衛,1 /共3層,60.9,38.18,--,#NAME?,14,852萬,600台灣嘉義市西區大富一街60號,23.4620908,120.4157026,劉厝里,2016/5/1
10502(實價),透天厝,嘉義市嘉義市大富一街61~90號,9.1,4房/2廳/2衛,1 /共4層,67,41.78,--,#NAME?,14.9,1000萬,600台灣嘉義市西區大富一街61號,23.4619118,120.4156616,劉厝里,2016/2/1
10509(實價),透天厝,嘉義市嘉義市大富三街1~30號,9.4,5房/2廳/2衛,1 /共4層,63.54,43.19,--,#NAME?,19.4,1230萬,600台灣嘉義市西區大富三街37-39號,23.4636438,120.414472,劉厝里,2016/9/1
10504(實價),透天厝,嘉義市嘉義市大富三街1~30號,6.5,5房/3廳/6衛,1 /共4層,100.98,51.58,--,#NAME?,19.8,2000萬,600台灣嘉義市西區大富三街37-39號,23.4636438,120.414472,劉厝里,2016/4/1
10504(實價),透天厝,嘉義市嘉義市大富三街31~60號,6.5,5房/2廳/5衛,1 /共4層,100.98,51.58,--,#NAME?,21.8,2200萬,600台灣嘉義市西區大富三街52-66號,23.46367,120.4140046,劉厝里,2016/4/1
10508(實價),透天厝,嘉義市嘉義市大富五街1~30號,11.9,5房/2廳/4衛,1 /共3層,61.42,40.3,--,#NAME?,17.6,1080萬,600台灣嘉義市西區大富五街30號,23.4677029,120.4145107,劉厝里,2016/8/1
10504(實價),透天厝,嘉義市嘉義市大富西街31~60號,10.8,5房/2廳/4衛,1 /共4層,56.46,28.16,--,#NAME?,14.2,800萬,600台灣嘉義市西區大富西街60號,23.4645284,120.4136174,劉厝里,2016/4/1
10506(實價),透天厝,嘉義市嘉義市大富西街85巷1~30號,9.5,4房/2廳/3衛,1 /共4層,58.48,33.26,--,#NAME?,14.8,865萬,600台灣嘉義市西區大富西街85巷30號,23.4641137,120.4128236,劉厝里,2016/6/1
10503(實價),透天厝,嘉義市嘉義市大富西街85巷1~30號,9.3,4房/3廳/3衛,1 /共4層,57.77,32.17,--,#NAME?,12.8,740萬,600台灣嘉義市西區大富西街85巷30號,23.4641137,120.4128236,劉厝里,2016/3/1
10512(實價),華廈,嘉義市嘉義市民族路571~600號,22.6,0房/0廳/0衛,1 /共7層,280.74,42.96,--,#NAME?,13.3,3720萬,600台灣嘉義市西區大華公路573號,23.4756221,120.4463972,西榮里,2016/12/1
10505(實價),透天厝,嘉義市嘉義市民族路781~810號,21.3,6房/3廳/5衛,1 /共5層,93.24,20.57,--,#NAME?,12.5,1165萬,600台灣嘉義市西區大華公路798號,23.4753093,120.4406537,書院里,2016/5/1
10504(實價),透天厝,嘉義市嘉義市民族路811~840號,25.2,5房/3廳/5衛,1 /共5層,162.32,30.55,--,#NAME?,19.1,3100萬,600台灣嘉義市西區大華公路811號,23.4750466,120.4400131,書院里,2016/4/1
10502(實價),透天厝,嘉義市嘉義市嘉義市大溪路591巷1~30號,12.3,4房/1廳/3衛,1 /共3層,45.9,29.1,--,#NAME?,12,550萬,600台灣嘉義市西區大溪路502號,23.4806326,120.4052192,大溪里,2016/2/1
10501(實價),透天厝,嘉義市嘉義市大聖南街151~180號,10.4,4房/2廳/3衛,1 /共4層,51.58,29.52,--,#NAME?,16.3,840萬,600台灣嘉義市西區大聖南街158號,23.4608486,120.4179496,劉厝里,2016/1/1
