年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street,date
10401(實價),透天厝,嘉義市嘉義市軍輝路162巷1~30號,38.4,4房/3廳/2衛,1 /共2層,25.63,21.78,--,#NAME?,11.8,303萬,600台灣嘉義市東區軍輝路162巷11號,23.4564755,120.4608005,興仁里,2015/1/1
10401(實價),華廈(含車位),嘉義市嘉義市永康二街1~30號,22.7,2房/1廳/1衛,3 /共7層,28.72,5.59,--,#NAME?,12.2,350萬,600台灣嘉義市西區永康二街8-14號,23.4751797,120.4243676,磚?里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市林森東路163巷91~120號,9.5,3房/2廳/4衛,1 /共4層,73.19,27.23,--,#NAME?,12.4,910萬,600台灣嘉義市東區林森東路163巷91號,23.4887993,120.4609102,太平里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市新生路386巷1~30號,40.2,3房/2廳/2衛,1 /共2層,23.08,17.85,--,#NAME?,12.4,286萬,600台灣嘉義市東區Y崗,23.4858515,120.4604334,太平里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市自治里10鄰蘭井街318巷1~30號,47,3房/1廳/1衛,1 /共2層,22.98,19.66,--,#NAME?,12.6,290萬,找不到位址,無,無,無,2015/1/1
10401(實價),透天厝,嘉義市嘉義市忠孝路798巷15弄1~30號,7,4房/2廳/3衛,1 /共3層,54.6,30.24,--,#NAME?,12.6,688萬,600台灣嘉義市東區忠孝路522-1號,23.4939767,120.452811,仁義里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市建成街58巷1~30號,51.6,2房/1廳/1衛,1 /共1層,13.69,16.94,--,#NAME?,12.8,175萬,600台灣嘉義市西區建成街58巷72號,23.4712729,120.440449,垂楊里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市信義路83巷31~60號,27.9,3房/2廳/2衛,1 /共2層,31.12,20.87,--,#NAME?,12.9,400萬,600台灣嘉義市西區信義路47號,23.4743614,120.4344611,西平里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市福州一街1~30號,26.1,4房/3廳/4衛,1 /共4層,57.6,25.41,--,#NAME?,12.9,745萬,600台灣嘉義市西區福州一街30號,23.4632758,120.434927,福民里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市宣信街28巷1~30號,0.1,5房/2廳/5衛,1 /共3層,73.71,48.4,--,#NAME?,13.5,998萬,600台灣嘉義市東區宣信街30號,23.463079,120.4645467,芳安里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市保安一路413巷31~60號,0.4,4房/2廳/3衛,1 /共4層,67.68,30.86,--,#NAME?,13.7,926萬,600台灣嘉義市西區保安一路60號,23.4937234,120.4406487,新厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市松江二街31~60號,37.1,3房/2廳/2衛,1 /共2層,33.51,27.83,--,#NAME?,13.7,460萬,600台灣嘉義市西區松江二街26-33號,23.4931474,120.4416779,新厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市吳鳳南路621巷1~30號,37.8,3房/2廳/2衛,1 /共2層,31.13,25.71,--,#NAME?,13.8,430萬,600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625,豐年里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市荖藤里3鄰荖藤宅31~60號,32.7,3房/2廳/2衛,1 /共2層,32.29,29.95,--,#NAME?,13.9,450萬,600台灣嘉義市東區20,23.5088651,120.4446987,荖藤里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市湖子內路1~30號,29.3,4房/1廳/3衛,1 /共3層,67.86,30.55,--,#NAME?,13.9,940萬,600台灣嘉義市西區湖子內路24-32號,23.454535,120.4430195,湖內里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大雅路一段288巷116弄1~30號,1.3,4房/3廳/4衛,1 /共3層,60.22,33.5,--,#NAME?,14.1,850萬,600台灣嘉義市東區大雅路一段1號,23.479947,120.503839,盧厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市彌陀路238巷33弄1~30號,36,4房/1廳/2衛,1 /共2層,40.05,31.46,--,#NAME?,14.5,580萬,600台灣嘉義市東區彌陀路238巷33弄35號,23.4740686,120.4640169,短竹里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市北榮街61~90號,35.5,5房/2廳/3衛,1 /共5層,102.08,30.25,--,#NAME?,14.7,1500萬,600台灣嘉義市西區北榮街90號,23.4807766,120.4469119,番社里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市建成街75巷31~60號,35.8,3房/2廳/2衛,1 /共2層,23.65,17.85,--,#NAME?,14.8,350萬,600台灣嘉義市西區建成街75巷32號,23.470646,120.4405943,垂楊里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大業街106巷86弄1~30號,8.8,4房/2廳/2衛,1 /共3層,52.83,23.38,--,#NAME?,14,738萬,600台灣嘉義市東區大業街106巷86弄12號,23.4644326,120.4526266,安業里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市保義路108巷1~30號,0.2,4房/2廳/4衛,1 /共3層,59.94,30.1,--,#NAME?,15.1,905萬,600台灣嘉義市東區保義路108巷25號,23.5017464,120.4536756,後湖里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市盧厝31~60號,14.6,4房/4廳/4衛,1 /共4層,112.66,101.08,--,#NAME?,15.3,1720萬,600台灣嘉義市東區保義路60巷17號,23.5013395,120.4532965,後湖里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市永吉三街31~60號,0.3,5房/3廳/4衛,1 /共3層,73.55,38.42,--,#NAME?,15.4,1130萬,600台灣嘉義市西區永吉三街31號,23.4917574,120.437275,保生里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市林森東路321巷11弄1~30號,31.9,4房/1廳/3衛,1 /共2層,35.47,28.44,--,#NAME?,15.5,550萬,600台灣嘉義市東區林森東路269巷1弄30號,23.4901012,120.4654374,新店里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市長春二街91~120號,8.7,4房/2廳/3衛,1 /共3層,51.76,27.53,--,#NAME?,15.5,800萬,600台灣嘉義市西區長春二街94號,23.4895362,120.4368819,保生里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大賢路31~60號,0.3,5房/2廳/5衛,1 /共4層,85.31,42.4,--,#NAME?,15.9,1360萬,600台灣嘉義市西區大賢路31號,23.4625512,120.4161313,劉厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市林森東路451~480號,9.8,5房/5廳/5衛,1 /共5層,78.08,43.41,--,#NAME?,16.1,1260萬,600台灣嘉義市東區林森東路480號,23.491523,120.4698939,圳頭里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市西區大聖路151~180號,0.7,5房/2廳/3衛,1 /共4層,64.93,36.28,--,#NAME?,16.2,1050萬,600台灣嘉義市西區大聖路151號,23.4615756,120.4187189,劉厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市東義路109巷1~30號,0.4,4房/3廳/5衛,1 /共3層,64.47,42.6,--,#NAME?,16.4,1059萬,600台灣嘉義市東區東義路109巷1號,23.4950314,120.4688871,後庄里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市芳安路17巷31~60號,19.7,7房/1廳/4衛,1 /共3層,25.55,16.03,--,#NAME?,16.6,423萬,600台灣嘉義市東區芳安路17巷31號,23.4682874,120.4649603,芳草里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市興中街121~150號,0.5,7房/1廳/7衛,1 /共5層,114.8,31.46,--,#NAME?,16.8,1930萬,600台灣嘉義市東區興中街150號,23.4803341,120.451168,中央里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市文心街178巷1~30號,8.1,5房/2廳/4衛,1 /共4層,85.76,53.08,--,#NAME?,16,1370萬,600台灣嘉義市東區大雅路一段858巷33號,23.4819607,120.4847961,文雅里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市義教街117巷61~90號,38,3房/2廳/2衛,1 /共1層,15.2,32.37,--,#NAME?,16,243萬,600台灣嘉義市東區義教街117巷63號,23.4943518,120.4660376,新店里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市自立街31~60號,3.5,4房/2廳/3衛,1 /共3層,53.78,23.9,--,#NAME?,17.4,936萬,找不到位址,無,無,無,2015/1/1
10401(實價),透天厝,嘉義市嘉義市興業西路1~30號,39.2,4房/1廳/1衛,1 /共3層,50.33,13.92,--,#NAME?,17.5,880萬,600台灣嘉義市西區興業西路30號,23.4686948,120.445471,致遠里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市東洋新?1~30號,7.3,4房/3廳/4衛,1 /共4層,70.95,27.83,--,#NAME?,17.6,1250萬,600台灣嘉義市東區文雅街,23.4837986,120.487306,文雅里,2015/1/1
10401(實價),套房,嘉義市嘉義市彌陀路31~60號,6.8,1房/1廳/1衛,2 /共4層,4.24,1.59,--,#NAME?,17.7,75萬,600台灣嘉義市東區彌陀路26號,23.4657296,120.4680298,短竹里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市博東路43巷31~60號,11.3,5房/3廳/4衛,1 /共4層,58.86,28.19,--,#NAME?,17.8,1050萬,600台灣嘉義市東區博東路31號,23.4902813,120.4623139,新店里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市雅竹路1~30號,6.9,4房/3廳/4衛,1 /共11層,77.36,12.19,--,#NAME?,18.1,1400萬,600台灣嘉義市東區雅竹路30號,23.4764591,120.4742352,長竹里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市林森東路691巷259弄31~60號,46.8,0房/0廳/0衛,1 /共1層,19.72,32.67,--,#NAME?,18.2,359萬,600台灣嘉義市東區林森東路60號,23.4867484,120.4566382,林森里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市西門街181~210號,0.7,5房/3廳/4衛,1 /共4層,94.01,39.33,--,#NAME?,18.6,1750萬,600台灣嘉義市西區西門街185號,23.4782208,120.4430635,書院里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市劉厝路181~210號,5.7,4房/3廳/3衛,1 /共4層,71.11,33.22,--,#NAME?,18.8,1338萬,600台灣嘉義市西區劉厝路182號,23.4641705,120.4185639,劉厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大富三街31~60號,9.3,5房/3廳/4衛,1 /共4層,66.6,42.94,--,#NAME?,18.8,1250萬,600台灣嘉義市西區大富三街52-66號,23.46367,120.4140046,劉厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市民樂街61~90號,40.8,2房/2廳/2衛,1 /共2層,33.63,19.36,--,#NAME?,18.9,635萬,600台灣嘉義市東區民樂街61號,23.4812002,120.4583705,東興里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市世賢路二段151~180號,4,5房/2廳/4衛,1 /共4層,72.48,28.13,--,#NAME?,19.3,1398萬,600台灣嘉義市西區世賢路二段151號,23.4751895,120.4212714,港坪里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市永吉四街1~30號,1.1,4房/3廳/5衛,1 /共4層,96.05,51.73,--,#NAME?,19.3,1850萬,600台灣嘉義市西區永吉四街9號,23.4917386,120.4363529,保生里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市德安路121~150號,9.7,5房/2廳/4衛,1 /共4層,66.5,30.55,--,#NAME?,19.9,1320萬,600台灣嘉義市西區德安路120號,23.4841663,120.4293902,保福里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市立仁路42巷1~30號,0.2,0房/0廳/0衛,1 /共3層,58.99,30.25,--,#NAME?,20.4,1205萬,600台灣嘉義市東區立仁路141-1號,23.4641073,120.4622139,芳安里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市八德路271~300號,1,4房/3廳/3衛,1 /共3層,53,23.29,--,#NAME?,20.9,1108萬,600台灣嘉義市西區八德路300號,23.490958,120.430367,保安里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市吳鳳南路224巷1~30號,41.3,4房/2廳/5衛,1 /共2層,24.5,18.15,--,#NAME?,21.6,530萬,600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625,豐年里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市永樂五街1~30號,1.1,5房/2廳/5衛,1 /共4層,82.55,32.97,--,#NAME?,21.8,1800萬,600台灣嘉義市西區永樂五街38號,23.475569,120.4223884,港坪里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市民族路511~540號,36.5,4房/2廳/2衛,1 /共4層,100.2,27.83,--,#NAME?,21,2100萬,600台灣嘉義市西區大華公路540號,23.4760064,120.4479422,文化里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市興達路301~330號,7.9,5房/2廳/2衛,1 /共4層,130.35,54.45,--,#NAME?,22.2,2900萬,600台灣嘉義市西區興達路305號,23.4870227,120.4374614,保安里,2015/1/1
10401(實價),透天厝(含車位),嘉義市嘉義市日新街55巷1~30號,26,4房/2廳/3衛,1 /共2層,35.3,36.6,--,#NAME?,22.7,800萬,600台灣嘉義市東區日新街1號,23.466713,120.4684457,短竹里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市忠孝路541~570號,10,2房/2廳/4衛,1 /共4層,60.89,21.18,--,#NAME?,22,1338萬,600台灣嘉義市東區忠孝路552-4號,23.4943916,120.4526888,仁義里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大雅路二段578巷1~30號,36.3,6房/2廳/3衛,1 /共2層,45.67,37.21,--,#NAME?,23.8,1089萬,600台灣嘉義市東區大雅路二段386巷1號,23.47769,120.473753,長竹里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市林森西路541~570號,46.8,0房/0廳/0衛,1 /共2層,61.03,29.65,--,#NAME?,23.8,1450萬,600台灣嘉義市西區林森西路570號,23.4794576,120.4419948,番社里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市新榮路121~150號,--,4房/2廳/3衛,3 /共3層,21.6,11.63,--,#NAME?,24.2,523萬,600台灣嘉義市西區新榮路121號,23.4737573,120.4446604,新富里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市光彩街541~570號,0.6,13房/2廳/15衛,1 /共5層,141.43,34.79,--,#NAME?,24,3400萬,600台灣嘉義市西區光彩街541號,23.477635,120.4437435,書院里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市金龍街91~120號,0,5房/2廳/6衛,1 /共5層,104.5,61.13,--,#NAME?,27.8,2900萬,600台灣嘉義市東區金龍街91號,23.4774845,120.4660093,東川里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市光彩街541~570號,0.6,10房/2廳/12衛,1 /共5層,103.23,27.77,--,#NAME?,28.1,2900萬,600台灣嘉義市西區光彩街541號,23.477635,120.4437435,書院里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市遼寧二街61~90號,37.9,3房/2廳/2衛,1 /共2層,18,20.27,--,#NAME?,28.8,518萬,600台灣嘉義市西區遼寧二街61號,23.4931406,120.4397326,新厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市上海路211~240號,30.3,6房/2廳/2衛,1 /共2層,35.01,25.11,--,#NAME?,28,980萬,600台灣嘉義市西區上海路212-224號,23.4671226,120.4332838,車店里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市文雅街1巷1~30號,10.7,5房/2廳/3衛,1 /共5層,75.1,36.91,--,#NAME?,29.3,2200萬,600台灣嘉義市東區文雅街140巷11號,23.4840615,120.4853228,文雅里,2015/1/1
10401(實價),套房,嘉義市嘉義市彌陀路121~150號,18.8,1房/0廳/1衛,4 /共20層,15.17,0.99,--,#NAME?,3.3,50萬,600台灣嘉義市東區彌陀路121號,23.4666592,120.4667133,芳草里,2015/1/1
10401(實價),住宅大樓(含車位),嘉義市嘉義市世賢路三段151~180號,21.3,3房/2廳/2衛,6 /共12層,74.35,1.85,--,#NAME?,3.7,275萬,600台灣嘉義市西區世賢路三段151號,23.463308,120.4308058,福民里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市維新路31~60號,41.1,3房/1廳/2衛,1 /共2層,38.53,26.32,--,#NAME?,31.1,1200萬,600台灣嘉義市東區維新路21-39號,23.4802796,120.4589605,華南里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市文化路271~300號,0,5房/4廳/7衛,1 /共5層,107.28,30.21,--,#NAME?,31.4,3365萬,600台灣嘉義市東區文化路265-273號,23.4837062,120.4487044,北門里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市吳鳳南路37巷1~30號,41.3,4房/2廳/3衛,1 /共2層,36.83,66.25,--,#NAME?,32.6,1200萬,600台灣嘉義市東區吳鳳南路30號,23.4712666,120.4539625,豐年里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市友愛路181~210號,34.1,3房/2廳/2衛,1 /共3層,78.91,31.16,--,#NAME?,35.5,2800萬,600台灣嘉義市西區友愛路210號,23.4812677,120.4341069,竹圍里,2015/1/1
10401(實價),公寓,嘉義市嘉義市蘭州一街61~90號,30.9,2房/1廳/2衛,3 /共5層,26.49,9.89,--,#NAME?,3,80萬,600台灣嘉義市西區蘭州一街61號,23.4656166,120.4310834,車店里,2015/1/1
10401(實價),公寓,嘉義市嘉義市玉山路251巷37弄1~30號,22.2,2房/1廳/1衛,5 /共5層,30.46,12.42,--,#NAME?,4.3,130萬,600台灣嘉義市西區玉山路251巷37弄20號,23.4700941,120.425317,劉厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市東洋新?1~30號,7.3,5房/2廳/4衛,1 /共4層,70.3,0,--,#NAME?,4.7,330萬,600台灣嘉義市東區文雅街,23.4837986,120.487306,文雅里,2015/1/1
10401(實價),華廈,嘉義市嘉義市忠孝路781~810號,19.3,2房/2廳/1衛,5 /共11層,28.29,4.52,--,#NAME?,4.8,135萬,600台灣嘉義市東區忠孝路782號,23.5097412,120.4461873,荖藤里,2015/1/1
10401(實價),店面(店鋪),嘉義市嘉義市友愛路181~210號,34.5,3房/2廳/2衛,1 /共2層,25.76,19.36,--,#NAME?,40.8,1050萬,600台灣嘉義市西區友愛路210號,23.4812677,120.4341069,竹圍里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市友忠路827巷61~90號,25.8,7房/2廳/2衛,1 /共2層,80.84,43.96,--,#NAME?,4,326萬,600台灣嘉義市西區友忠路827巷61號,23.4879842,120.4410281,重興里,2015/1/1
10401(實價),華廈,嘉義市嘉義市北榮街121~150號,24,5房/1廳/1衛,6 /共7層,85.3,98.62,--,#NAME?,5.1,435萬,600台灣嘉義市西區北榮街78-82號,23.4807719,120.4478229,國華里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市東義路109巷16弄1~30號,20.6,4房/2廳/2衛,1 /共4層,61.11,28.38,--,#NAME?,5.7,350萬,600台灣嘉義市東區東義路109巷1號,23.4950314,120.4688871,後庄里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市新民路811~840號,49.8,1房/1廳/1衛,1 /共1層,6.9,0,--,#NAME?,5.8,40萬,600台灣嘉義市西區新民路840號,23.4715169,120.4399147,垂楊里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市溪興街211~240號,32.1,4房/3廳/2衛,1 /共5層,58.77,20.18,--,#NAME?,6.1,360萬,600台灣嘉義市東區溪興街215號,23.4544097,120.4555303,興村里,2015/1/1
10401(實價),華廈,嘉義市嘉義市北榮街121~150號,24,4房/2廳/3衛,5 /共7層,85.3,12.33,--,#NAME?,6.2,525萬,600台灣嘉義市西區北榮街78-82號,23.4807719,120.4478229,國華里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市玉山路240巷1~30號,20.5,3房/1廳/2衛,8 /共12層,32.35,3.03,--,#NAME?,6.2,200萬,600台灣嘉義市西區玉山路1號,23.473261,120.4319371,磚瑤里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市北港路256巷31~60號,36.2,3房/2廳/2衛,1 /共2層,29.33,25.41,--,#NAME?,6.2,182萬,600台灣嘉義市西區北港路256巷23號,23.4792652,120.4333007,福全里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市吳鳳南路365巷76弄1~30號,21.2,3房/2廳/2衛,8 /共13層,43.42,6.97,--,#NAME?,6.2,268萬,600台灣嘉義市東區吳鳳南路365巷76弄5號,23.4643739,120.4572401,安寮里,2015/1/1
10401(實價),套房,嘉義市嘉義市小雅路181~210號,21.6,1房/1廳/1衛,10 /共16層,14.01,1.66,--,#NAME?,6.3,88萬,600台灣嘉義市東區小雅路185號,23.4726044,120.4740688,蘭潭里,2015/1/1
10401(實價),華廈,嘉義市嘉義市中山路481~510號,31.4,7房/4廳/4衛,3 /共8層,95.77,13.78,--,#NAME?,6.5,624萬,600台灣嘉義市西區中山路471-495號,23.4795113,120.4454144,番社里,2015/1/1
10401(實價),華廈,嘉義市嘉義市泰瑞一街61~90號,21.4,4房/1廳/2衛,4 /共7層,39.11,6.99,--,#NAME?,6.6,260萬,600台灣嘉義市西區泰瑞一街48號,23.4838433,120.4257913,福安里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市大雅路一段368巷66弄1~30號,19.1,4房/3廳/3衛,1 /共4層,94.75,39.41,--,#NAME?,6.7,635萬,600台灣嘉義市東區大雅路一段1號,23.479947,120.503839,盧厝里,2015/1/1
10401(實價),透天厝,嘉義市嘉義市培元里新榮路83巷1~30號,50.2,3房/2廳/2衛,1 /共2層,20.23,15.13,--,#NAME?,6.7,135萬,600台灣嘉義市西區新榮路49巷2號,23.470887,120.444873,培元里,2015/1/1
10401(實價),華廈,嘉義市嘉義市自強街195巷31~60號,24.2,3房/1廳/1衛,7 /共8層,27.16,4.04,--,#NAME?,6.8,185萬,600台灣嘉義市西區自強街195巷27號,23.464458,120.4203273,劉厝里,2015/1/1
10401(實價),住宅大樓,嘉義市嘉義市德明路61~90號,19.4,3房/2廳/2衛,9 /共19層,36.5,2.89,--,#NAME?,6.8,250萬,600台灣嘉義市西區德明路90號,23.4814836,120.4320387,福全里,2015/1/1
10401(實價),華廈,嘉義市嘉義市南京路20巷31~60號,19.8,3房/2廳/2衛,5 /共10層,40.48,7.23,--,#NAME?,6.9,278萬,600台灣嘉義市西區南京路20巷19-57號,23.4566788,120.4425104,獅子里,2015/1/1
10401(實價),華廈,嘉義市嘉義市興村街1~30號,30.1,3房/2廳/1衛,2 /共7層,30.66,6.24,--,#NAME?,6,185萬,600台灣嘉義市西區博愛路一段482巷30號,23.4864012,120.4425852,重興里,2015/1/1
10401(實價),套房,嘉義市嘉義市建成街151~180號,23.5,1房/0廳/1衛,2 /共6層,16.53,3.39,--,#NAME?,6,100萬,600台灣嘉義市西區建成街151號,23.4698551,120.4385426,垂楊里,2015/1/1
10401(實價),華廈,嘉義市嘉義市友愛路1~30號,21.6,2房/2廳/1衛,5 /共7層,28.04,4.73,--,#NAME?,7.1,200萬,600台灣嘉義市西區友愛路30號,23.4921539,120.4441036,湖邊里,2015/1/1
