年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10205(實價),透天厝,嘉義市嘉義市宣信街98巷31~60號,31.4,3房/1廳/1衛,1 /共2層,34.48,30.85,--,#NAME?,11萬,380萬,600台灣嘉義市東區宣信街31號,23.4650927,120.46362,中山里
10210(實價),透天厝,嘉義市嘉義市宣信街31~60號,17.3,4房/2廳/3衛,1 /共4層,50.4,23.23,--,#NAME?,9萬,452萬,600台灣嘉義市東區宣信街31號,23.4650927,120.46362,豐年里
10211(實價),透天厝,嘉義市嘉義市宣信街31~60號,17.4,5房/2廳/4衛,1 /共4層,50.44,25.72,--,#NAME?,10.3萬,520萬,600台灣嘉義市東區宣信街31號,23.4650927,120.46362,豐年里
10204(實價),透天厝,嘉義市嘉義市宣信街361~390號,0.1,4房/2廳/5衛,1 /共4層,62.54,28.74,--,#NAME?,20.8萬,1300萬,600台灣嘉義市東區宣信街372號,23.4724058,120.4568794,豐年里
10207(實價),透天厝,嘉義市嘉義市宣信街361~390號,0.3,6房/2廳/4衛,1 /共4層,65.15,29.65,--,#NAME?,18.7萬,1220萬,600台灣嘉義市東區宣信街372號,23.4724058,120.4568794,過溝里
10205(實價),透天厝,嘉義市嘉義市宣信街48巷1~30號,32,2房/2廳/2衛,1 /共2層,29.76,23.59,--,#NAME?,6.7萬,200萬,600台灣嘉義市東區宣信街48巷1號,23.463469,120.4646916,荖藤里
10204(實價),透天厝,嘉義市嘉義市宣信街98巷61~90號,31.3,6房/1廳/6衛,1 /共2層,32.81,25.71,--,#NAME?,14.5萬,476萬,600台灣嘉義市東區宣信街58號,23.4646209,120.4638701,荖藤里
10209(實價),透天厝,嘉義市嘉義市宣信街61~90號,24.1,5房/2廳/4衛,1 /共4層,64.91,26.92,--,#NAME?,12萬,780萬,600台灣嘉義市東區宣信街58號,23.4646209,120.4638701,荖藤里
10208(實價),透天厝,嘉義市嘉義市荖藤里4鄰後厝仔1~30號,30,3房/2廳/2衛,1 /共2層,30.9,27.83,--,#NAME?,7.1萬,220萬,600台灣嘉義市東區後厝仔29-8號,23.508273,120.4404092,荖藤里
10207(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.2,3房/1廳/1衛,5 /共5層,25.09,12.84,--,#NAME?,4.9萬,123萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10207(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.2,3房/1廳/1衛,5 /共5層,25.07,12.84,--,#NAME?,3.2萬,80萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10208(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.3,3房/2廳/1衛,1 /共5層,23.67,12.9,--,#NAME?,11萬,260萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10210(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.4,3房/1廳/1衛,2 /共5層,23.23,12.84,--,#NAME?,7.3萬,169萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10211(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.5,3房/1廳/1衛,1 /共5層,23.67,12.9,--,#NAME?,15萬,355萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10212(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.6,2房/1廳/1衛,4 /共5層,23.32,12.9,--,#NAME?,5.9萬,138萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10212(實價),公寓,嘉義市嘉義市仁義新村1~30號,31.6,3房/1廳/1衛,1 /共5層,23.23,12.84,--,#NAME?,7.5萬,175萬,600台灣嘉義市東區紅毛埤119號,23.4604342,120.4847725,仁義里
10202(實價),透天厝,嘉義市嘉義市紅毛埤121~150號,3.7,5房/3廳/3衛,1 /共3層,60.7,91.84,--,#NAME?,15.3萬,930萬,600台灣嘉義市東區紅毛埤122號,23.4608973,120.484404,仁義里
10211(實價),透天厝,嘉義市嘉義市軍輝路91~120號,37.3,2房/1廳/2衛,1 /共2層,18.51,33.66,--,#NAME?,47.5萬,880萬,600台灣嘉義市東區軍輝路120號,23.4563084,120.4619064,仁義里
